id,tipo,descripcion,superficie,unidad_superficie,capacidad_carga,unidad_capacidad,infraestructura,costo_usd,capacidad_notas,fuente
potrero_pastoreo,potrero_pastoreo,"Pastizal tropical mejorado con gramineas (Brachiaria; Panicum; Cynodon) para pastoreo rotacional de rumiantes; incluye sombra arborea y bebederos",5,ha,4.0,UA_por_ha_total,"Cerca perimetral; bebedero; sombra/arboles; manga de manejo",3500,"Carga 0.8-1.2 UA/ha en pasto nativo; hasta 4 UA/ha en pastizal mejorado con fertilizacion; referencia 0.48 AUE promedio tropical FAO",agris-FAO; pasture.io; nrcs-usda
potrero_silvopastoril,sistema_silvopastoril,"Potrero con alta densidad de arboles forrajeros (Leucaena; Tithonia; Gliricidia) y gramineas; apto para bovinos-ovinos-caprinos en sistema intensivo",3,ha,6.0,UA_por_ha_total,"Arboles multiestrato establecidos; bebederos; sombra integrada; cerca electrica",5000,"Hasta 4x mas produccion de carne/ha que pastoreo convencional segun PMC8066609; carga puede superar 4-6 UA/ha en sistemas intensivos",PMC8066609; PMC10952216; springer-silvopasture
corral_rumiantes,corral,"Corral de manejo y confinamiento temporal para rumiantes; incluye comedero cubierto; bebedero; manga y embudo de trabajo",200,m2,15,animales_adultos,"Suelo compactado o piso de cemento; comedero cubierto; bebedero; manga; techo parcial",2000,"Espacio minimo 10-15 m2/bovino adulto; 1.5-2 m2/ovino o caprino; uso temporal para manejo sanitario y alimentacion suplementaria",FAO-housing-s1250; agrositio.com.ar
gallinero_galpon,gallinero_galpon,"Galpon abierto con ventilacion natural para aves (ponedoras; broiler; codorniz); piso de tierra o cama de virutas; zona de bebedero y comedero",100,m2,700,aves_totales,"Estructura liviana madera/malla; techo zinc o teja; bebederos de niple; comederos canaleta; cama de virutas",1500,"7 aves/m2 ponedoras (piso); 10/m2 broilers; 80/m2 codornices; limite sanitario en tropico puede reducir densidad 15-20% por calor",livestocking.net; PMC6617375; thepoultrysite
chiquero_porqueriza,chiquero_porqueriza,"Instalacion de confinamiento para cerdos con piso de cemento lavable; comedero y bebedero automatico; fosa de estiercol para biogas o vermicompostaje",50,m2,20,cerdos_adultos,"Piso cemento con pendiente drenaje; bebedero chupete; comedero tolva; cubierta total; pared baja con rejilla",2500,"1.5-2.5 m2/cerdo adulto en confinamiento tropical; cercado con baño de lodo o aspersion para termoregulacion",FAO-pig-tropics; FAO-housing-pig; PMC11016694
conejera,conejera,"Baterias de jaulas de alambre sobre soportes metalicos o madera para conejos; protegidas del sol y lluvia; bajo galponcito ventilado",20,m2,40,conejos_adultos,"Jaulas alambre galvanizado 0.5 m2/animal; marco madera o metal; techo y lateral anti-lluvia/sol; comedero y bebedero",800,"0.5-1 m2/coneja reproductora; hasta 40 animales en 20 m2 en bateria 2 pisos; temperatura critica >30C requiere sombreado estricto",FAO-rabbit; ATTRA-rabbit; ECHO-rabbit
colmenar,colmenar,"Apiario con colmenas Langstroth o nucleos de meliponas; ubicado en bordes de finca cerca de floracion; distante de zonas de alto transito animal",0.5,ha,10,colmenas_por_ha,"Colmenas Langstroth pintadas; soporte elevado del suelo; techo protector; fuente de agua proxima; sombra parcial de arboles",500,"5-10 colmenas/ha apiario; densidad silvestre 6.7 colonias/km2 en LA; miel 20-40 kg/colmena/año segun manejo",PMC10568204; PMC11066017; INTA-apicultura
traspatio_integrado,traspatio_integrado,"Sistema de traspatio familiar integrado: gallinero + chiquero + huerta + area de vermicompostaje; tipico de produccion campesina latinoamericana; maxima sinergia de reciclaje",500,m2,30,animales_equivalentes,"Galponcito multispecies; huerta cercada; compostera; bebederos multiples; sombra arborea; cerca perimetral basica",600,"Capacidad estimada: 20-30 gallinas criollas + 5-8 cerdos + conejos/cuyes; densidad ajustada por espacio y manejo familiar; no apta para razas comerciales de alta densidad",lrrd-CIPAV; FAO-family-poultry; MDPI-traspatio
vermicomposteria,vermicomposteria,"Camas de vermicompostaje con lombrices Eisenia para procesar estiercol de cerdos aves y conejos; produce vermicompost y biomasa de lombriz para pienso",10,m2,5,kg_lombrices,"Camas de madera o bloque; cobertura anti-lluvia y sol; riego por aspersion; palanganas de recoleccion de lixiviado",300,"0.5 kg lombrices/m2; procesa ~0.5 kg estiercol/kg lombriz/dia; 10 m2 procesan 2.5 kg estiercol/dia; escalar segun produccion animal",springer-eisenia; oregonstate-worm; FAO-composting
estanque_integrado,estanque_integrado,"Estanque de tierra para tilapia u otros peces fertilizado con estiercol de patos o cerdos; area marginal de la finca o en bajada de pendiente",500,m2,5,peces_por_m2,"Talud compactado; entrada y salida de agua regulable; plataformas para patos o comederos flotantes; malla perimetral",1200,"5 peces/m2 intensivo; 2-3/m2 semi-intensivo; aumento 30-40% en produccion con estiercol de patos integrado; 1 estanque absorbe estiercol de 50-100 patos",scialert-rice-fish; sciencedirect-tilapia; lrrd-tilapia
